ts_code,symbol,name,industry,list_date
600399.SH,600399,抚顺特钢,特种钢,20001229
600400.SH,600400,红豆股份,服饰,20010108
600403.SH,600403,大有能源,煤炭开采,20031009
600405.SH,600405,动力源,电气设备,20040401
600406.SH,600406,国电南瑞,电气设备,20031016
600408.SH,600408,安泰集团,焦炭加工,20030212
600409.SH,600409,三友化工,化纤,20030618
600410.SH,600410,华胜天成,软件服务,20040427
600415.SH,600415,小商品城,商品城,20020509
600416.SH,600416,湘电股份,电气设备,20020718
600418.SH,600418,江淮汽车,汽车整车,20010824
600419.SH,600419,天润乳业,乳制品,20010628
600420.SH,600420,国药现代,化学制药,20040616
600421.SH,600421,*ST华嵘,专用机械,20040607
600422.SH,600422,昆药集团,中成药,20001206
600423.SH,600423,柳化股份,农药化肥,20030717
600425.SH,600425,青松建化,水泥,20030724
600426.SH,600426,华鲁恒升,农药化肥,20020620
600428.SH,600428,中远海特,水运,20020418
600429.SH,600429,三元股份,乳制品,20030915
600433.SH,600433,冠豪高新,造纸,20030619
600435.SH,600435,北方导航,专用机械,20030704
600436.SH,600436,片仔癀,中成药,20030616
600438.SH,600438,通威股份,电气设备,20040302
600439.SH,600439,瑞贝卡,服饰,20030710
600444.SH,600444,国机通用,专用机械,20040219
600446.SH,600446,金证股份,软件服务,20031224
600448.SH,600448,华纺股份,纺织,20010903
600449.SH,600449,宁夏建材,水泥,20030829
600452.SH,600452,涪陵电力,水力发电,20040303
600455.SH,600455,博通股份,文教休闲,20040329
600456.SH,600456,宝钛股份,小金属,20020412
600458.SH,600458,时代新材,塑料,20021219
600459.SH,600459,贵研铂业,小金属,20030516
600460.SH,600460,士兰微,半导体,20030311
600461.SH,600461,洪城环境,水务,20040601
600463.SH,600463,空港股份,园区开发,20040318
600467.SH,600467,好当家,渔业,20040405
600468.SH,600468,百利电气,电气设备,20010615
600469.SH,600469,风神股份,汽车配件,20031021
600470.SH,600470,六国化工,农药化肥,20040305
600475.SH,600475,华光环能,电气设备,20030721
600476.SH,600476,湘邮科技,软件服务,20031210
600477.SH,600477,杭萧钢构,钢加工,20031110
600478.SH,600478,科力远,电气设备,20030918
600479.SH,600479,千金药业,中成药,20040312
600480.SH,600480,凌云股份,汽车配件,20030815
600481.SH,600481,双良节能,电气设备,20030422
600483.SH,600483,福能股份,新型电力,20040531
600486.SH,600486,扬农化工,农药化肥,20020425
600487.SH,600487,亨通光电,通信设备,20030822
600488.SH,600488,津药药业,化学制药,20010618
600489.SH,600489,中金黄金,黄金,20030814
600490.SH,600490,鹏欣资源,铜,20030626
600491.SH,600491,龙元建设,建筑工程,20040524
600493.SH,600493,凤竹纺织,纺织,20040421
600495.SH,600495,晋西车轴,运输设备,20040526
600496.SH,600496,精工钢构,钢加工,20020605
600497.SH,600497,驰宏锌锗,铅锌,20040420
600498.SH,600498,烽火通信,通信设备,20010823
600499.SH,600499,科达制造,专用机械,20021010
600500.SH,600500,中化国际,塑料,20000301
600501.SH,600501,航天晨光,专用机械,20010615
600502.SH,600502,安徽建工,建筑工程,20030415
600503.SH,600503,华丽家族,区域地产,20020709
600505.SH,600505,西昌电力,水力发电,20020530
600506.SH,600506,统一股份,石油加工,20011226
600507.SH,600507,方大特钢,特种钢,20030930
600508.SH,600508,上海能源,煤炭开采,20010829
600509.SH,600509,天富能源,火力发电,20020228
600510.SH,600510,黑牡丹,全国地产,20020618
600511.SH,600511,国药股份,医药商业,20021127
600512.SH,600512,腾达建设,建筑工程,20021226
600513.SH,600513,联环药业,化学制药,20030319
600515.SH,600515,海南机场,机场,20020806
600516.SH,600516,方大炭素,矿物制品,20020830
600517.SH,600517,国网英大,多元金融,20031010
600518.SH,600518,康美药业,中成药,20010319
600519.SH,600519,贵州茅台,白酒,20010827
600520.SH,600520,三佳科技,半导体,20020108
600521.SH,600521,华海药业,化学制药,20030304
600522.SH,600522,中天科技,通信设备,20021024
600523.SH,600523,贵航股份,汽车配件,20011227
600525.SH,600525,ST长园,电气设备,20021202
600526.SH,600526,菲达环保,环境保护,20020722
600527.SH,600527,江南高纤,化纤,20031127
600528.SH,600528,中铁工业,运输设备,20010528
600529.SH,600529,山东药玻,医疗保健,20020603
600530.SH,600530,交大昂立,医疗保健,20010702
600531.SH,600531,豫光金铅,铅锌,20020730
600533.SH,600533,栖霞建设,区域地产,20020328
600535.SH,600535,天士力,中成药,20020823
600536.SH,600536,中国软件,软件服务,20020517
600537.SH,600537,亿晶光电,电气设备,20030123
600538.SH,600538,国发股份,医药商业,20030114
600539.SH,600539,狮头股份,互联网,20010824
600540.SH,600540,新赛股份,种植业,20040107
600543.SH,600543,莫高股份,红黄酒,20040324
600545.SH,600545,卓郎智能,纺织机械,20031203
600546.SH,600546,山煤国际,煤炭开采,20030731
600547.SH,600547,山东黄金,黄金,20030828
600548.SH,600548,深高速,路桥,20011225
600549.SH,600549,厦门钨业,小金属,20021107
600550.SH,600550,保变电气,电气设备,20010228
600551.SH,600551,时代出版,出版业,20020905
600552.SH,600552,凯盛科技,元器件,20021108
600556.SH,600556,天下秀,互联网,20010807
600557.SH,600557,康缘药业,中成药,20020918
600558.SH,600558,大西洋,钢加工,20010227
600559.SH,600559,老白干酒,白酒,20021029
600560.SH,600560,金自天正,电气设备,20020919
600561.SH,600561,江西长运,公共交通,20020716
600562.SH,600562,国睿科技,通信设备,20030128
600563.SH,600563,法拉电子,元器件,20021210
600566.SH,600566,济川药业,中成药,20010822
